SubscriptionID,CompanyID,PlanID,SnapshotDateKey,ActiveUsers,MRR_Amount,IsActive,IsChurned,IsUpgrade,IsDowngrade
1,1,2,20220101,142,1519,1,0,0,0
2,1,2,20220201,253,2629,1,0,0,0
3,1,2,20220301,320,3299,1,0,0,0
4,1,2,20220401,268,2779,1,0,0,0
5,1,2,20220501,321,3309,1,0,0,0
6,1,2,20220601,232,2419,1,0,0,0
7,1,2,20220701,59,689,1,0,0,0
8,1,2,20220801,253,2629,1,0,0,0
9,1,2,20220901,108,1179,1,0,0,0
10,1,2,20221001,453,4629,1,0,0,0
11,1,2,20221101,151,1609,1,0,0,0
12,1,2,20221201,252,2619,1,0,0,0
13,1,2,20230101,110,1199,1,0,0,0
14,1,2,20230201,231,2409,1,0,0,0
15,1,2,20230301,18,279,1,0,0,0
16,1,2,20230401,89,989,1,0,0,0
17,1,2,20230501,51,609,1,0,0,0
18,1,2,20230601,378,3879,1,0,0,0
19,1,2,20230701,329,3389,1,0,0,0
20,1,2,20230801,282,2919,1,0,0,0
21,1,2,20230901,280,2899,1,0,0,0
22,1,2,20231001,231,2409,1,0,0,0
23,1,2,20231101,418,4279,1,0,0,0
24,1,2,20231201,243,2529,1,0,0,0
25,1,2,20240101,394,4039,1,0,0,0
26,1,2,20240201,394,4039,1,0,0,0
27,1,2,20240301,174,1839,1,0,0,0
28,1,2,20240401,353,3629,1,0,0,0
29,1,2,20240501,277,2869,1,0,0,0
30,1,2,20240601,366,3759,0,1,0,0
31,2,2,20220401,246,2559,1,0,0,0
32,2,2,20220501,125,1349,1,0,0,0
33,2,2,20220601,453,4629,1,0,0,0
34,2,2,20220701,137,1469,1,0,0,0
35,2,2,20220801,485,4949,1,0,0,0
36,2,2,20220901,309,3189,1,0,0,0
37,2,2,20221001,446,4559,1,0,0,0
38,2,2,20221101,312,3219,1,0,0,0
39,2,2,20221201,231,2409,1,0,0,0
40,2,2,20230101,185,1949,1,0,0,0
41,2,2,20230201,390,3999,1,0,0,0
42,2,2,20230301,313,3229,1,0,0,0
43,2,2,20230401,295,3049,1,0,0,0
44,2,2,20230501,12,219,1,0,0,0
45,2,2,20230601,455,4649,1,0,0,0
46,2,2,20230701,400,4099,1,0,0,0
47,2,2,20230801,77,869,1,0,0,0
48,2,2,20230901,84,939,1,0,0,0
49,2,2,20231001,451,4609,1,0,0,0
50,2,2,20231101,15,249,1,0,0,0
51,2,2,20231201,166,1759,1,0,0,0
52,2,2,20240101,327,3369,1,0,0,0
53,2,2,20240201,293,3029,1,0,0,0
54,2,2,20240301,237,2469,1,0,0,0
55,2,2,20240401,8,179,1,0,0,0
56,2,2,20240501,212,2219,1,0,0,0
57,2,2,20240601,285,2949,1,0,0,0
58,2,2,20240701,236,2459,1,0,0,0
59,2,2,20240801,298,3079,1,0,0,0
60,2,2,20240901,206,2159,1,0,0,0
61,2,2,20241001,429,4389,1,0,0,0
62,2,2,20241101,209,2189,1,0,0,0
63,2,2,20241201,7,169,1,0,0,0
64,2,2,20250101,176,1859,1,0,0,0
65,2,2,20250201,366,3759,1,0,0,0
66,2,2,20250301,361,3709,1,0,0,0
67,2,2,20250401,436,4459,1,0,0,0
68,2,2,20250501,104,1139,1,0,0,0
69,2,2,20250601,383,3929,1,0,0,0
70,2,2,20250701,39,489,1,0,0,0
71,2,2,20250801,125,1349,1,0,0,0
72,2,2,20250901,16,259,1,0,0,0
73,2,2,20251001,69,789,1,0,0,0
74,2,2,20251101,233,2429,1,0,0,0
75,2,2,20251201,389,3989,1,0,0,0
76,2,2,20260101,173,1829,1,0,0,0
77,2,2,20260201,40,499,1,0,0,0
78,2,2,20260301,21,309,1,0,0,0
79,2,2,20260401,183,1929,1,0,0,0
80,2,2,20260501,272,2819,1,0,0,0
81,2,2,20260601,61,709,1,0,0,0
82,2,2,20260701,462,4719,1,0,0,0
83,2,2,20260801,171,1809,1,0,0,0
84,2,2,20260901,438,4479,1,0,0,0
85,2,2,20261001,80,899,1,0,0,0
86,2,2,20261101,473,4829,1,0,0,0
87,2,2,20261201,41,509,1,0,0,0
88,3,2,20230901,29,389,1,0,0,0
89,3,2,20231001,199,2089,1,0,0,0
90,3,2,20231101,441,4509,1,0,0,0
91,3,2,20231201,410,4199,1,0,0,0
92,3,2,20240101,198,2079,1,0,0,0
93,3,2,20240201,242,2519,1,0,0,0
94,3,2,20240301,273,2829,1,0,0,0
95,3,2,20240401,409,4189,1,0,0,0
96,3,2,20240501,255,2649,1,0,0,0
97,3,2,20240601,230,2399,1,0,0,0
98,3,2,20240701,380,3899,1,0,0,0
99,3,2,20240801,370,3799,1,0,0,0
100,3,2,20240901,167,1769,1,0,0,0
101,3,2,20241001,41,509,1,0,0,0
102,3,2,20241101,383,3929,1,0,0,0
103,3,2,20241201,482,4919,0,1,0,0
104,4,3,20231201,114,2479,1,0,0,0
105,4,3,20240101,236,4919,1,0,0,0
106,4,3,20240201,181,3819,1,0,0,0
107,4,3,20240301,42,1039,1,0,0,0
108,4,3,20240401,492,10039,1,0,0,0
109,4,3,20240501,136,2919,1,0,0,0
110,4,3,20240601,43,1059,1,0,0,0
111,4,3,20240701,409,8379,1,0,0,0
112,4,3,20240801,399,8179,1,0,0,0
113,4,3,20240901,160,3399,1,0,0,0
114,4,3,20241001,469,9579,1,0,0,0
115,4,3,20241101,377,7739,1,0,0,0
116,4,3,20241201,88,1959,1,0,0,0
117,4,3,20250101,196,4119,1,0,0,0
118,4,3,20250201,187,3939,1,0,0,0
119,4,3,20250301,497,10139,1,0,0,0
120,4,3,20250401,61,1419,1,0,0,0
