SubscriptionID,CompanyID,PlanID,SnapshotDateKey,ActiveUsers,MRR_Amount,IsActive,IsChurned,IsUpgrade,IsDowngrade,DateKey,FullDate
1,1,1,20230401,12,109,1,0,0,0,20230401,2023-04-01
2,1,1,20230501,14,119,1,0,0,0,20230501,2023-05-01
3,1,1,20230601,6,79,1,0,0,0,20230601,2023-06-01
4,1,1,20230701,18,139,1,0,0,0,20230701,2023-07-01
5,1,1,20230801,15,124,0,1,0,0,20230801,2023-08-01
6,2,1,20230601,17,134,1,0,0,0,20230601,2023-06-01
7,2,1,20230701,7,84,1,0,0,0,20230701,2023-07-01
8,2,1,20230801,8,89,1,0,0,0,20230801,2023-08-01
9,2,1,20230901,20,149,1,0,0,0,20230901,2023-09-01
10,2,1,20231001,18,139,1,0,0,0,20231001,2023-10-01
11,2,1,20231101,15,124,1,0,0,0,20231101,2023-11-01
12,2,1,20231201,15,124,0,1,0,0,20231201,2023-12-01
13,3,1,20230701,8,89,1,0,0,0,20230701,2023-07-01
14,3,1,20230801,18,139,1,0,0,0,20230801,2023-08-01
15,3,1,20230901,11,104,1,0,0,0,20230901,2023-09-01
16,3,1,20231001,12,109,1,0,0,0,20231001,2023-10-01
17,3,1,20231101,19,144,1,0,0,0,20231101,2023-11-01
18,3,1,20231201,15,124,1,0,0,0,20231201,2023-12-01
19,3,1,20240101,16,129,1,0,0,0,20240101,2024-01-01
20,3,1,20240201,20,149,1,0,0,0,20240201,2024-02-01
21,3,1,20240301,7,84,1,0,0,0,20240301,2024-03-01
22,3,1,20240401,16,129,1,0,0,0,20240401,2024-04-01
23,3,1,20240501,14,119,0,1,0,0,20240501,2024-05-01
24,4,1,20240701,29,194,1,0,0,0,20240701,2024-07-01
25,4,1,20240801,55,324,1,0,0,0,20240801,2024-08-01
26,4,1,20240901,83,464,1,0,0,0,20240901,2024-09-01
27,4,1,20241001,61,354,1,0,0,0,20241001,2024-10-01
28,4,1,20241101,42,259,1,0,0,0,20241101,2024-11-01
29,4,1,20241201,35,224,1,0,0,0,20241201,2024-12-01
30,4,1,20250101,23,164,1,0,0,0,20250101,2025-01-01
31,4,1,20250201,88,489,1,0,0,0,20250201,2025-02-01
32,4,1,20250301,32,209,1,0,0,0,20250301,2025-03-01
33,4,1,20250401,90,499,1,0,0,0,20250401,2025-04-01
